last_name1,Player_of_Match,M_O_M_Count,Player_name1,first_name1
Chandila,A Chandila,1,A_Chandila,A
Kumble,A Kumble,3,A_Kumble,A
Mishra,A Mishra,12,A_Mishra,A
Nehra,A Nehra,6,A_Nehra,A
Nortje,A Nortje,3,A_Nortje,A
Singh,A Singh,1,A_Singh,A
Symonds,A Symonds,3,A_Symonds,A
Zampa,A Zampa,1,A_Zampa,A
Jhunjhunwala,AA Jhunjhunwala,1,AA_Jhunjhunwala,AA
Dinda,AB Dinda,2,AB_Dinda,AB
de_Villiers,AB de Villiers,25,AB_de_Villiers,AB
Gilchrist,AC Gilchrist,7,AC_Gilchrist,AC
Voges,AC Voges,1,AC_Voges,AC
Mascarenhas,AD Mascarenhas,1,AD_Mascarenhas,AD
Mathews,AD Mathews,1,AD_Mathews,AD
Russell,AD Russell,11,AD_Russell,AD
Finch,AJ Finch,5,AJ_Finch,AJ
Tye,AJ Tye,2,AJ_Tye,AJ
Rahane,AM Rahane,12,AM_Rahane,AM
Tare,AP Tare,1,AP_Tare,AP
Patel,AR Patel,7,AR_Patel,AR
Joseph,AS Joseph,1,AS_Joseph,AS
Rajpoot,AS Rajpoot,2,AS_Rajpoot,AS
Rayudu,AT Rayudu,10,AT_Rayudu,AT
Mahmood,Azhar Mahmood,2,Azhar_Mahmood,Azhar
Kumar,B Kumar,5,B_Kumar,B
Lee,B Lee,2,B_Lee,B
Stanlake,B Stanlake,1,B_Stanlake,B
Bhatt,BA Bhatt,1,BA_Bhatt,BA
Stokes,BA Stokes,5,BA_Stokes,BA
McCullum,BB McCullum,5,BB_McCullum,BB
Cutting,BCJ Cutting,1,BCJ_Cutting,BCJ
Hodge,BJ Hodge,6,BJ_Hodge,BJ
Hilfenhaus,BW Hilfenhaus,2,BW_Hilfenhaus,BW
Lynn,CA Lynn,4,CA_Lynn,CA
Gayle,CH Gayle,22,CH_Gayle,CH
Morris,CH Morris,3,CH_Morris,CH
Anderson,CJ Anderson,3,CJ_Anderson,CJ
Jordan,CJ Jordan,1,CJ_Jordan,CJ
White,CL White,1,CL_White,CL
Brathwaite,CR Brathwaite,1,CR_Brathwaite,CR
Fernando,CRD Fernando,1,CRD_Fernando,CRD
Varun,CV Varun,2,CV_Varun,CV
Padikkal,D Padikkal,1,D_Padikkal,D
Miller,DA Miller,3,DA_Miller,DA
Warner,DA Warner,17,DA_Warner,DA
Bollinger,DE Bollinger,2,DE_Bollinger,DE
Bravo,DJ Bravo,4,DJ_Bravo,DJ
Hooda,DJ Hooda,1,DJ_Hooda,DJ
Hussey,DJ Hussey,2,DJ_Hussey,DJ
Sammy,DJG Sammy,1,DJG_Sammy,DJG
Chahar,DL Chahar,2,DL_Chahar,DL
Vettori,DL Vettori,1,DL_Vettori,DL
Nannes,DP Nannes,1,DP_Nannes,DP
Jayawardene,DPMD Jayawardene,5,DPMD_Jayawardene,DPMD
Smith,DR Smith,11,DR_Smith,DR
Steyn,DW Steyn,5,DW_Steyn,DW
Morgan,EJG Morgan,2,EJG_Morgan,EJG
du_Plessis,F du Plessis,6,F_du_Plessis,F
Gambhir,G Gambhir,13,G_Gambhir,G
Smith,GC Smith,2,GC_Smith,GC
McGrath,GD McGrath,1,GD_McGrath,GD
Vihari,GH Vihari,2,GH_Vihari,GH
Bailey,GJ Bailey,1,GJ_Bailey,GJ
Maxwell,GJ Maxwell,8,GJ_Maxwell,GJ
Gurney,HF Gurney,1,HF_Gurney,HF
Gibbs,HH Gibbs,1,HH_Gibbs,HH
Pandya,HH Pandya,6,HH_Pandya,HH
Amla,HM Amla,2,HM_Amla,HM
Patel,HV Patel,3,HV_Patel,HV
Singh,Harbhajan Singh,8,Harbhajan_Singh,Harbhajan
Singh,Harmeet Singh,2,Harmeet_Singh,Harmeet
Brar,Harpreet Brar,1,Harpreet_Brar,Harpreet
Sharma,I Sharma,2,I_Sharma,I
Pathan,IK Pathan,2,IK_Pathan,IK
Tahir,Imran Tahir,1,Imran_Tahir,Imran
Abdulla,Iqbal Abdulla,2,Iqbal_Abdulla,Iqbal
Kishan,Ishan Kishan,3,Ishan_Kishan,Ishan
Botha,J Botha,1,J_Botha,J
Theron,J Theron,1,J_Theron,J
Morkel,JA Morkel,2,JA_Morkel,JA
Archer,JC Archer,1,JC_Archer,JC
Buttler,JC Buttler,7,JC_Buttler,JC
Ryder,JD Ryder,1,JD_Ryder,JD
Unadkat,JD Unadkat,6,JD_Unadkat,JD
Oram,JDP Oram,1,JDP_Oram,JDP
Franklin,JEC Franklin,1,JEC_Franklin,JEC
Kallis,JH Kallis,10,JH_Kallis,JH
Bumrah,JJ Bumrah,6,JJ_Bumrah,JJ
Roy,JJ Roy,2,JJ_Roy,JJ
Bairstow,JM Bairstow,4,JM_Bairstow,JM
Holder,JO Holder,1,JO_Holder,JO
Duminy,JP Duminy,4,JP_Duminy,JP
Faulkner,JP Faulkner,5,JP_Faulkner,JP
Hazlewood,JR Hazlewood,1,JR_Hazlewood,JR
Rabada,K Rabada,1,K_Rabada,K
Pollard,KA Pollard,14,KA_Pollard,KA
Sangakkara,KC Sangakkara,5,KC_Sangakkara,KC
Karthik,KD Karthik,5,KD_Karthik,KD
Pandya,KH Pandya,4,KH_Pandya,KH
Ahmed,KK Ahmed,1,KK_Ahmed,KK
Cooper,KK Cooper,1,KK_Cooper,KK
