last_name1,Player_of_Match,M_O_M_Count,Player_name1,first_name1
Aaron,VR Aaron,2,Varun_Aaron,Varun
Abdulla,Iqbal Abdulla,2,Iqbal_Abdulla,Iqbal
Agarwal,MA Agarwal,3,Mayank_Agarwal,Mayank
Ahmed,KK Ahmed,1,KK_Ahmed,KK
Akhtar,Shoaib Akhtar,1,Shoaib_Akhtar,Shoaib
Al_Hasan,Shakib Al Hasan,2,Shakib_Al_Hasan,Shakib
Ali,MM Ali,1,Moeen_Ali,Moeen
Amla,HM Amla,2,HM_Amla,HM
Anderson,CJ Anderson,3,CJ_Anderson,CJ
Anirudha,S Anirudha,1,S_Anirudha,S
Aravind,S Aravind,1,S_Aravind,S
Archer,JC Archer,1,Jofra_Archer,Jofra
Ashwin,R Ashwin,3,R_Ashwin,R
Asnodkar,SA Asnodkar,1,SA_Asnodkar,SA
Badrinath,S Badrinath,1,S_Badrinath,S
Bailey,GJ Bailey,1,GJ_Bailey,GJ
Bairstow,JM Bairstow,4,Jonny_Bairstow,Jonny
Balaji,L Balaji,3,L_Balaji,L
Bharat,KS Bharat,1,KS_Bharat,KS
Bhatia,R Bhatia,1,Harpreet_Bhatia,Harpreet
Bhatt,BA Bhatt,1,BA_Bhatt,BA
Billings,SW Billings,1,Sam_Billings,Sam
Bisla,MS Bisla,1,MS_Bisla,MS
Bollinger,DE Bollinger,2,DE_Bollinger,DE
Bopara,RS Bopara,1,RS_Bopara,RS
Botha,J Botha,1,J_Botha,J
Boucher,MV Boucher,2,MV_Boucher,MV
Boult,TA Boult,4,Trent_Boult,Trent
Brar,Harpreet Brar,1,Harpreet_Brar,Harpreet
Brathwaite,CR Brathwaite,1,CR_Brathwaite,CR
Bravo,DJ Bravo,4,Dwayne_Bravo,Dwayne
Bumrah,JJ Bumrah,6,Jasprit_Bumrah,Jasprit
Buttler,JC Buttler,7,Jos_Buttler,Jos
Chahal,YS Chahal,4,Yuzvendra_Chahal,Yuzvendra
Chahar,RD Chahar,1,Deepak_Chahar,Deepak
Chahar,DL Chahar,2,Rahul_Chahar,Rahul
Chandila,A Chandila,1,A_Chandila,A
Chawla,PP Chawla,3,Piyush_Chawla,Piyush
Collingwood,PD Collingwood,1,PD_Collingwood,PD
Cooper,KK Cooper,1,KK_Cooper,KK
Coulter-Nile,NM Coulter-Nile,5,Nathan_Coulter-Nile,Nathan
Cummins,PJ Cummins,1,Pat_Cummins,Pat
Curran,SM Curran,1,SM_Curran,SM
Cutting,BCJ Cutting,1,BCJ_Cutting,BCJ
Dhawan,S Dhawan,10,Shikhar_Dhawan,Shikhar
Dhoni,MS Dhoni,17,MS_Dhoni,MS
Dilshan,TM Dilshan,1,TM_Dilshan,TM
Dinda,AB Dinda,2,AB_Dinda,AB
Dravid,R Dravid,2,R_Dravid,R
Duminy,JP Duminy,4,JP_Duminy,JP
Faulkner,JP Faulkner,5,James_Faulkner,James
Ferguson,LH Ferguson,2,Lockie_Ferguson,Lockie
Fernando,CRD Fernando,1,Avishka_Fernando,Avishka
Finch,AJ Finch,5,Aaron_Finch,Aaron
Franklin,JEC Franklin,1,JEC_Franklin,JEC
Gaikwad,RD Gaikwad,7,Ruturaj_Gaikwad,Ruturaj
Gambhir,G Gambhir,13,G_Gambhir,G
Ganguly,SC Ganguly,5,SC_Ganguly,SC
Garg,PK Garg,1,Priyam_Garg,Priyam
Gayle,CH Gayle,22,CH_Gayle,CH
Gibbs,HH Gibbs,1,HH_Gibbs,HH
Gilchrist,AC Gilchrist,7,AC_Gilchrist,AC
Gill,Shubman Gill,3,Shubman_Gill,Shubman
Gony,MS Gony,1,MS_Gony,MS
Gopal,S Gopal,2,Shreyas_Gopal,Shreyas
Goswami,SP Goswami,1,Shreevats_Goswami,Shreevats
Gul,Umar Gul,1,Umar_Gul,Umar
Gurney,HF Gurney,1,HF_Gurney,HF
Harris,RJ Harris,1,RJ_Harris,RJ
Hayden,ML Hayden,4,ML_Hayden,ML
Hazlewood,JR Hazlewood,1,Josh_Hazlewood,Josh
Henriques,MC Henriques,2,Moises_Henriques,Moises
Hetmyer,SO Hetmyer,1,Shimron_Hetmyer,Shimron
Hilfenhaus,BW Hilfenhaus,2,BW_Hilfenhaus,BW
Hodge,BJ Hodge,6,BJ_Hodge,BJ
Holder,JO Holder,1,Jason_Holder,Jason
Hooda,DJ Hooda,1,Deepak_Hooda,Deepak
Hussey,MEK Hussey,12,DJ_Hussey,DJ
Hussey,DJ Hussey,2,MEK_Hussey,MEK
Iyer,SS Iyer,6,Shreyas_Iyer,Shreyas
Iyer,VR Iyer,1,Venkatesh_Iyer,Venkatesh
Jadeja,RA Jadeja,11,Ravindra_Jadeja,Ravindra
Jadhav,KM Jadhav,2,Kedar_Jadhav,Kedar
Jakati,SB Jakati,1,SB_Jakati,SB
Jayasuriya,ST Jayasuriya,2,ST_Jayasuriya,ST
Jayawardene,DPMD Jayawardene,5,DPMD_Jayawardene,DPMD
Jhunjhunwala,AA Jhunjhunwala,1,AA_Jhunjhunwala,AA
Johnson,MG Johnson,2,MG_Johnson,MG
Jordan,CJ Jordan,1,Chris_Jordan,Chris
Joseph,AS Joseph,1,Alzarri_Joseph,Alzarri
Kallis,JH Kallis,10,JH_Kallis,JH
Karthik,KD Karthik,5,Dinesh_Karthik,Dinesh
Kartik,M Kartik,1,M_Kartik,M
Katich,SM Katich,1,SM_Katich,SM
Khan,Z Khan,1,Zaheer_Khan,Zaheer
Khan,Rashid Khan,8,Rashid_Khan,Rashid
Kishan,Ishan Kishan,3,Ishan_Kishan,Ishan
Kohli,V Kohli,13,Virat_Kohli,Virat
Kulasekara,KMDN Kulasekara,1,KMDN_Kulasekara,KMDN
Kumar,P Kumar,2,P_Kumar,P
Kumar,B Kumar,5,Bhuvneshwar_Kumar,Bhuvneshwar
Kumble,A Kumble,3,Anil_Kumble,Anil
Lee,B Lee,2,Brett_Lee,Brett
Levi,RE Levi,1,RE_Levi,RE
Lumb,MJ Lumb,1,MJ_Lumb,MJ
Lynn,CA Lynn,4,Chris_Lynn,Chris
Maharoof,MF Maharoof,1,MF_Maharoof,MF
Mahmood,Azhar Mahmood,2,Azhar_Mahmood,Azhar
Malinga,SL Malinga,6,SL_Malinga,SL
Marsh,MR Marsh,1,Mitchell_Marsh,Mitchell
Marsh,SE Marsh,9,SE_Marsh,SE
Mascarenhas,AD Mascarenhas,1,AD_Mascarenhas,AD
Mathews,AD Mathews,1,AD_Mathews,AD
Mavi,Shivam Mavi,2,Shivam_Mavi,Shivam
Maxwell,GJ Maxwell,8,Glenn_Maxwell,Glenn
McClenaghan,MJ McClenaghan,2,MJ_McClenaghan,MJ
McCullum,BB McCullum,5,BB_McCullum,BB
McGrath,GD McGrath,1,GD_McGrath,GD
McLaren,R McLaren,1,R_McLaren,R
Miller,DA Miller,3,David_Miller,David
Mishra,A Mishra,12,Amit_Mishra,Amit
Mishra,MD Mishra,1,MD_Mishra,MD
Morgan,EJG Morgan,2,Eoin_Morgan,Eoin
Morkel,M Morkel,2,JA_Morkel,JA
Morkel,JA Morkel,2,M_Morkel,M
Morris,CH Morris,3,CH_Morris,CH
Muralitharan,M Muralitharan,2,M_Muralitharan,M
Nadeem,S Nadeem,2,Shahbaz_Nadeem,Shahbaz
Nair,KK Nair,3,Karun_Nair,Karun
Nannes,DP Nannes,1,DP_Nannes,DP
Narine,SP Narine,12,Sunil_Narine,Sunil
Negi,P Negi,2,Pawan_Negi,Pawan
Nehra,A Nehra,6,Ashish_Nehra,Ashish
Ngidi,L Ngidi,1,Lungisani_Ngidi,Lungisani
Nortje,A Nortje,3,Anrich_Nortje,Anrich
Ntini,M Ntini,2,M_Ntini,M
Ojha,PP Ojha,1,NV_Ojha,NV
Ojha,NV Ojha,1,PP_Ojha,PP
Oram,JDP Oram,1,JDP_Oram,JDP
Padikkal,D Padikkal,1,Devdutt_Padikkal,Devdutt
Pandey,MK Pandey,5,Manish_Pandey,Manish
Pandya,KH Pandya,4,Hardik_Pandya,Hardik
Pandya,HH Pandya,6,Krunal_Pandya,Krunal
Pant,RR Pant,6,Rishabh_Pant,Rishabh
